,participant,word1,rating1,slider1.rt,word2,rating2,slider2.rt,word3,rating3,slider3.rt,word4,rating4,slider4.rt,word5,rating5,slider5.rt
208,5deb0be47d91c323213e752b,sad,5.0,3.7377,concerned,5.0,3.0904,disturbed,3.0,3.195,depressed,3.0,3.9918,curious,3.0,8.6423
209,5deb0be47d91c323213e752b,neutral,5.0,4.7371,indifferent,5.0,4.2062,passive,5.0,3.0969,apathetic,5.0,3.0795,unconcerned,3.0,23.797
210,5deb0be47d91c323213e752b,sympathy,4.0,4.7121,curiosity,4.0,10.7435,surprise,3.0,14.6552,empathy,4.0,13.2831,neutral,3.0,6.468
211,5deb0be47d91c323213e752b,amused,3.0,9.3604,neutral,3.0,12.6254,familiar,5.0,10.9097,rolling-eyes,4.0,5.0875,passive,5.0,6.9428
212,5deb0be47d91c323213e752b,shocked,5.0,4.8933,surprised,5.0,2.6375,anxious,5.0,5.6707,curious,5.0,5.8807,relief,4.0,14.3754
213,5deb0be47d91c323213e752b,confused,5.0,3.33,uncertain,3.0,3.5546,curious,5.0,5.7545,unsure,4.0,17.0989,unsatisfied,5.0,31.9578
214,5deb0be47d91c323213e752b,curious,3.0,12.5609,neutral,4.0,3.1295,passive,5.0,3.1389,indifferent,5.0,3.0928,apathetic,5.0,4.0196
215,5deb0be47d91c323213e752b,amazed,5.0,2.9664,curious,5.0,2.656,in-awe,5.0,3.3065,surprised,4.0,5.8467,bored,1.0,7.8447
216,5deb0be47d91c323213e752b,disturbed,5.0,4.0651,confused,5.0,2.7297,creeped-out,5.0,3.615,disoriented,5.0,6.8466,perturbed,5.0,5.926
217,5deb0be47d91c323213e752b,alarmed,5.0,3.0232,sad,5.0,3.6874,upset,3.0,2.4611,concerned,5.0,6.1736,sympathy,5.0,3.8401
218,5deb0be47d91c323213e752b,rolling-eyes,4.0,6.804,neutral,5.0,2.8626,passive,5.0,2.941,indifferent,5.0,3.3738,annoyed,4.0,5.0892
219,5deb0be47d91c323213e752b,shocked,5.0,2.8091,surprised,5.0,3.2073,excited,3.0,2.659,provoked,4.0,5.6255,curious,5.0,4.3824
220,5deb0be47d91c323213e752b,alarmed,5.0,3.1047,shocked,5.0,2.5306,concerned,5.0,3.3237,curious,5.0,2.6073,disturbed,3.0,5.7091
221,5deb0be47d91c323213e752b,bored,5.0,3.1185,passive,5.0,2.977,indifferent,5.0,3.2645,apathetic,5.0,4.0959,unconcerned,5.0,8.2866
222,5deb0be47d91c323213e752b,concerned,5.0,3.1124,sad,5.0,2.5418,upset,5.0,2.5437,disturbed,4.0,2.8389,worried,5.0,4.9398
223,5deb0be47d91c323213e752b,neutral,4.0,2.774,annoyed,4.0,2.5147,indifferent,3.0,7.7955,apathetic,4.0,5.8799,irritated,3.0,13.482
224,5deb0be47d91c323213e752b,shocked,5.0,2.6601,concerned,5.0,2.7147,curious,4.0,9.0188,worried,4.0,5.1086,anxious,4.0,4.9429
225,5deb0be47d91c323213e752b,curious,4.0,4.7116,neutral,4.0,3.7787,bored,4.0,4.7378,indifferent,4.0,4.1059,passive,4.0,3.5739
226,5deb0be47d91c323213e752b,annoyed,5.0,3.0319,familiar,5.0,4.2036,unconcerned,5.0,16.4065,entertained,1.0,4.9446,uninterested,5.0,10.3402
240,5db5fa693d2b8e01654d351c,tasty,4.0,8.9761,sweet,4.0,2.4496,hot,4.0,3.5985,warm,4.0,2.5965,sugar,4.0,7.7955
