,participant,word1,rating1,slider1.rt,word2,rating2,slider2.rt,word3,rating3,slider3.rt,word4,rating4,slider4.rt,word5,rating5,slider5.rt
46,5f1b9073b07b733a1b4fdd8b,spirited,4,24.156,enthusiastic,4,22.062,euphoric,4,12.248,giddy,4,2.964,elated,4,5.975
47,5f1b9073b07b733a1b4fdd8b,dread,4,37.513,chilled,4,53.674,spooked,4,17.885,distress,4,9.006,bizarre,4,36.294
48,5f1b9073b07b733a1b4fdd8b,flop,4,29.239,entertained,4,43.212,preposterous,4,18.372,witty,4,8.22,ridiculous,4,9.211
49,5f1b9073b07b733a1b4fdd8b,hostile,4,22.722,steaming,4,93.634,rabid,4,6.573,perturbed,4,32.026,ticked,4,22.17
50,5f5ab17f73b8271b147a50a4,bored,5,7.1762,nothing,4,8.6199,gross,3,5.082,diabetic,3,7.4785,full,3,2.8632
51,5f5ab17f73b8271b147a50a4,angry,3,7.1739,curious,3,15.2318,calm,3,7.2802,confused,3,10.1198,strong,3,19.1827
52,5f5ab17f73b8271b147a50a4,shock,4,6.5366,confused,4,3.7154,angry,4,3.7193,disgust,4,5.3645,mad,4,10.5511
53,5f5ab17f73b8271b147a50a4,sad,4,3.5664,hopeful,4,5.0759,safe,4,2.8399,intrigued,4,4.1736,relief,5,5.9416
54,5f5ab17f73b8271b147a50a4,disgust,5,4.9815,confused,4,5.6542,shocked,4,8.0422,gross,4,2.677,unhappy,4,10.5399
55,5f5ab17f73b8271b147a50a4,happy,3,6.6811,relief,3,4.1765,excite,2,4.0669,good,3,14.8785,attracted,3,7.2825
56,5f5ab17f73b8271b147a50a4,sad,5,2.5609,angry,5,3.2566,relief,4,3.1154,care,4,7.5804,hope,4,2.8392
57,5f5ab17f73b8271b147a50a4,funny,4,4.4627,jokes,4,3.7116,ridiculous,4,5.5477,sorry,4,2.5338,happy,4,7.3083
58,5f5ab17f73b8271b147a50a4,ow,5,2.3811,bad,5,4.3214,scared,4,2.0765,stunned,4,5.7727,pain,4,7.8614
59,5f5ab17f73b8271b147a50a4,angry,4,8.037,disgust,4,5.6981,wrong,4,19.5706,resent,3,4.0065,mad,4,7.2642
60,5f5ab17f73b8271b147a50a4,excite,4,4.0174,victorious,4,7.7544,relieved,4,2.9911,scared,4,6.9898,sweating,4,9.485
61,5f5ab17f73b8271b147a50a4,funny,5,4.3316,ridiculous,5,4.4902,justice,4,3.6032,angry,3,7.0347,happy,3,4.8148
62,5f5ab17f73b8271b147a50a4,bored,4,7.0179,confused,4,6.2414,strange,4,5.0561,unusual,4,14.3082,empty,4,2.5261
63,5f5ab17f73b8271b147a50a4,terror,4,3.89,amazed,5,2.4117,inspired,4,4.7553,scared,4,4.0363,wow,4,3.2692
64,5f5ab17f73b8271b147a50a4,confused,5,5.9513,curious,5,3.4483,gross,3,5.3692,amazed,3,9.9556,wonder,3,3.1547
65,5f5ab17f73b8271b147a50a4,ouch,4,12.6419,bad,5,5.2522,sorry,4,2.9685,sad,4,2.078,scared,5,3.4555
66,5f5ab17f73b8271b147a50a4,warm,5,2.6739,happy,5,2.3811,safe,5,2.2196,affectionate,5,4.1728,sweet,5,7.2818
67,5f5ab17f73b8271b147a50a4,funny,4,5.0665,aroused,4,7.2819,submissive,4,6.0913,laughing,4,20.885,surprised,4,6.4637
68,5f5ab17f73b8271b147a50a4,horrible,5,5.1827,shocked,5,3.4567,scared,5,2.9577,disgusted,5,3.2746,worried,5,2.8424
69,5f5ab17f73b8271b147a50a4,calm,4,5.5287,nothingness,4,4.919,fancy,4,3.7613,lonely,4,6.4051,solitude,5,6.5692
70,5f5ab17f73b8271b147a50a4,sad,5,2.6944,upset,5,4.5049,worry,5,8.8015,concern,5,4.1679,hope,3,4.7601
71,5f5ab17f73b8271b147a50a4,victory,5,9.9486,strong,5,3.6317,amazed,5,3.0126,power,5,3.4332,excite,5,2.5447
72,5f5ab17f73b8271b147a50a4,horrible,5,3.4438,terrified,5,5.2087,sad,5,2.2423,shocked,5,5.0629,angry,5,4.3239
73,5f5ab17f73b8271b147a50a4,laughter,5,5.5116,funny,5,5.6229,embarrassed,4,5.3661,joy,4,3.2819,stupid,4,8.1571
74,5f5ab17f73b8271b147a50a4,scared,4,3.7881,terror,4,8.3165,trapped,3,3.2835,funny,4,5.2197,curious,4,12.3348
75,5e0fac24500f066c547f6376,calm,4,6.878,excited,3,3.7627,hungry,4,2.9115,happiness,4,18.3861,tempted,4,5.1173
76,5e0fac24500f066c547f6376,nervous,4,19.2462,afraid,4,2.7138,calm,3,3.8646,unsure,3,3.0451,overwhelmed,3,3.1643
77,5e0fac24500f066c547f6376,shocked,5,5.3487,scared,4,2.3047,angry,5,2.5118,annoyed,4,3.4642,sad,4,1.9998
