mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,refresh_rate,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,slider1_2.response,slider1_2.rt,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,slider2_2.response,slider2_2.rt,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,slider3_2.response,slider3_2.rt,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.clicked_name,slider4_2.response,slider4_2.rt,mouse_14.x,mouse_14.y,mouse_14.leftButton,mouse_14.midButton,mouse_14.rightButton,mouse_14.clicked_name,slider5_2.response,slider5_2.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.clicked_name,mouse_16.x,mouse_16.y,mouse_16.leftButton,mouse_16.midButton,mouse_16.rightButton,mouse_16.clicked_name,word1,rating1,slider1.response,slider1.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,word2,rating2,slider2.response,slider2.rt,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,word3,rating3,slider3.response,slider3.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,word4,rating4,slider4.response,slider4.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,word5,rating5,slider5.response,slider5.rt,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,video_file,video_id,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.clicked_name
,,,,,,5ebe2e86c03b44036af627e9,63be06df47de8f5cc7fc5ba2,2023-01-11_10h58.00.610,mere_v2,2022.2.4,Win32,59.76571838,6396f61bcf7ce5dd1b56c37b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,america-winning,5,5,20.0408,-0.009722233,-0.409722222,1,0,0,image,collinization,3,3,8.4901,0.007638931,-0.440277841,1,0,0,image,war,4,4,11.173,-0.018749979,-0.390972243,1,0,0,image,teamwork,4,4,14.7037,0.002777841,-0.390277757,1,0,0,image,ownership,4,4,10.2196,-0.020833333,-0.423611111,1,0,0,image,0,1,1,1,1,group_1/1693.mp4,2,,,,,,
,,,,,,5ebe2e86c03b44036af627e9,63be06df47de8f5cc7fc5ba2,2023-01-11_10h58.00.610,mere_v2,2022.2.4,Win32,59.76571838,6396f61bcf7ce5dd1b56c37b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gross,5,5,9.3768,-0.043749968,-0.42291673,1,0,0,image,assault,5,5,4.1578,-0.09861109,-0.398611175,1,0,0,image,unjustified,4,4,6.3144,-0.076388889,-0.423611111,1,0,0,image,sneaky,4,4,6.5293,-0.09375,-0.395138952,1,0,0,image,asshole,5,5,4.1958,0.050694466,-0.395833333,1,0,0,image,0,2,2,2,1,group_1/1703.mp4,3,,,,,,
,,,,,,5ebe2e86c03b44036af627e9,63be06df47de8f5cc7fc5ba2,2023-01-11_10h58.00.610,mere_v2,2022.2.4,Win32,59.76571838,6396f61bcf7ce5dd1b56c37b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,4,4,8.4371,0.008333312,-0.406944487,1,0,0,image,nice-thing,5,5,4.5983,0.024305556,-0.377777788,1,0,0,image,helpful,5,5,3.918,0.038888931,-0.365277767,1,0,0,image,sad,3,3,5.419,0.006250064,-0.39166673,1,0,0,image,poor-thing,4,4,6.6105,0.027083397,-0.406944487,1,0,0,image,0,3,3,3,1,group_1/0570.mp4,4,,,,,,
,,,,,,5ebe2e86c03b44036af627e9,63be06df47de8f5cc7fc5ba2,2023-01-11_10h58.00.610,mere_v2,2022.2.4,Win32,59.76571838,6396f61bcf7ce5dd1b56c37b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gross,5,5,10.4073,-0.024305556,-0.388888889,1,0,0,image,disgusting,5,5,4.0085,-0.06736109,-0.388888889,1,0,0,image,self-inflicted,4,4,8.7589,-0.065277788,-0.364583333,1,0,0,image,yuck,5,5,10.2116,-0.010416667,-0.381250011,1,0,0,image,sick,5,5,10.5384,-0.001388868,-0.397916688,1,0,0,image,0,4,4,4,1,group_1/0187.mp4,5,,,,,,
,,,,,,5ebe2e86c03b44036af627e9,63be06df47de8f5cc7fc5ba2,2023-01-11_10h58.00.610,mere_v2,2022.2.4,Win32,59.76571838,6396f61bcf7ce5dd1b56c37b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sporty,5,5,32.5785,0.010416667,-0.431250042,1,0,0,image,comradery,4,4,5.6385,0.011805534,-0.393055598,1,0,0,image,friendly,4,4,6.8476,-0.014583323,-0.390277757,1,0,0,image,proud,4,4,5.1044,0.001388868,-0.407638868,1,0,0,image,atheletic,5,5,9.2082,0.020833333,-0.40138891,1,0,0,image,0,5,5,5,1,group_1/1210.mp4,6,,,,,,
,,,,,,5ebe2e86c03b44036af627e9,63be06df47de8f5cc7fc5ba2,2023-01-11_10h58.00.610,mere_v2,2022.2.4,Win32,59.76571838,6396f61bcf7ce5dd1b56c37b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bright,4,4,15.441,0.004166709,-0.386111101,1,0,0,image,colourful,4,4,9.1581,-0.024305556,-0.372222212,1,0,0,image,yellow,4,4,4.4928,-0.034722222,-0.371527778,1,0,0,image,fast,3,3,4.6973,-0.035416656,-0.416666667,1,0,0,image,calm,3,3,7.7917,0.022916688,-0.393055598,1,0,0,image,0,6,6,6,1,group_1/1169.mp4,7,,,,,,
,,,,,,5ebe2e86c03b44036af627e9,63be06df47de8f5cc7fc5ba2,2023-01-11_10h58.00.610,mere_v2,2022.2.4,Win32,59.76571838,6396f61bcf7ce5dd1b56c37b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,awkward,5,5,3.3902,0.018055598,-0.39166673,1,0,0,image,rejected,3,3,4.2841,-0.01597219,-0.405555619,1,0,0,image,sporty,3,3,9.691,0.015277757,-0.414583312,1,0,0,image,unnoticed,4,4,30.2481,-0.043749968,-0.399305556,1,0,0,image,cringe,3,3,4.2198,-0.006944444,-0.403472265,1,0,0,image,0,7,7,7,1,group_1/1567.mp4,8,,,,,,
,,,,,,5ebe2e86c03b44036af627e9,63be06df47de8f5cc7fc5ba2,2023-01-11_10h58.00.610,mere_v2,2022.2.4,Win32,59.76571838,6396f61bcf7ce5dd1b56c37b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ouch,5,5,4.3352,0.015972243,-0.402083397,1,0,0,image,painful,4,4,6.0548,-0.001388868,-0.39652782,1,0,0,image,mistake,5,5,7.6225,0.00486109,-0.380555577,1,0,0,image,slipped,4,4,57.6934,0.032638868,-0.419444508,1,0,0,image,dangerous,5,5,4.353,0.011111153,-0.397222201,1,0,0,image,0,8,8,8,1,group_1/1768.mp4,9,,,,,,
,,,,,,5ebe2e86c03b44036af627e9,63be06df47de8f5cc7fc5ba2,2023-01-11_10h58.00.610,mere_v2,2022.2.4,Win32,59.76571838,6396f61bcf7ce5dd1b56c37b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pretty,4,4,4.6258,-0.034027788,-0.414583312,1,0,0,image,wealthy,5,5,4.0197,0.048611111,-0.377777788,1,0,0,image,kardashian,5,5,5.3864,-0.07847219,-0.404861132,1,0,0,image,celebrity,5,5,4.6692,-0.000694434,-0.372222212,1,0,0,image,overabundance,4,4,11.6887,0.022916688,-0.399305556,1,0,0,image,0,9,9,9,1,group_1/1791.mp4,10,,,,,,
,,,,,,5ebe2e86c03b44036af627e9,63be06df47de8f5cc7fc5ba2,2023-01-11_10h58.00.610,mere_v2,2022.2.4,Win32,59.76571838,6396f61bcf7ce5dd1b56c37b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,idiot,5,5,3.636,0.02638891,-0.363888899,1,0,0,image,close-call,4,4,3.7369,0.040277799,-0.358333323,1,0,0,image,reckless,4,4,6.601,-0.070833312,-0.404861132,1,0,0,image,lucky,5,5,3.3801,-0.024999989,-0.420138889,1,0,0,image,risky,5,5,3.9077,-0.002083302,-0.385416667,1,0,0,image,0,10,10,10,1,group_1/2120.mp4,11,,,,,,
