,word,version,vid,vid_name
195,glad,2,4,0570.mp4
196,sick,1,5,0187.mp4
197,sick,1,5,0187.mp4
198,sick,1,5,0187.mp4
199,sick,1,5,0187.mp4
200,sick,1,5,0187.mp4
201,sick,1,5,0187.mp4
202,sick,1,5,0187.mp4
203,sick,1,5,0187.mp4
204,sick,1,5,0187.mp4
205,sick,2,5,0187.mp4
206,sick,2,5,0187.mp4
207,sick,2,5,0187.mp4
208,sick,2,5,0187.mp4
209,sick,2,5,0187.mp4
210,sick,2,5,0187.mp4
211,disgust,1,5,0187.mp4
212,disgust,1,5,0187.mp4
213,disgust,1,5,0187.mp4
214,disgust,1,5,0187.mp4
215,disgust,1,5,0187.mp4
216,disgust,1,5,0187.mp4
217,disgust,1,5,0187.mp4
218,disgust,2,5,0187.mp4
219,disgust,2,5,0187.mp4
220,disgust,2,5,0187.mp4
221,disgust,2,5,0187.mp4
222,disgust,2,5,0187.mp4
223,disgust,2,5,0187.mp4
224,disgust,2,5,0187.mp4
225,disgust,2,5,0187.mp4
226,disgust,2,5,0187.mp4
227,disgust,2,5,0187.mp4
228,disgust,2,5,0187.mp4
229,disgust,2,5,0187.mp4
230,disgust,2,5,0187.mp4
231,disgust,2,5,0187.mp4
232,disgust,2,5,0187.mp4
233,gross,1,5,0187.mp4
234,gross,2,5,0187.mp4
235,gross,2,5,0187.mp4
236,gross,2,5,0187.mp4
237,gross,2,5,0187.mp4
238,amus,2,5,0187.mp4
239,amus,2,5,0187.mp4
240,nauseou,2,5,0187.mp4
241,happi,1,6,1210.mp4
242,happi,1,6,1210.mp4
243,happi,1,6,1210.mp4
244,happi,1,6,1210.mp4
245,happi,1,6,1210.mp4
246,happi,1,6,1210.mp4
247,happi,1,6,1210.mp4
248,happi,1,6,1210.mp4
249,happi,1,6,1210.mp4
250,happi,1,6,1210.mp4
251,happi,2,6,1210.mp4
252,happi,2,6,1210.mp4
253,happi,2,6,1210.mp4
254,happi,2,6,1210.mp4
255,happi,2,6,1210.mp4
256,happi,2,6,1210.mp4
257,happi,2,6,1210.mp4
258,happi,2,6,1210.mp4
259,happi,2,6,1210.mp4
260,happi,2,6,1210.mp4
261,happi,2,6,1210.mp4
262,happi,2,6,1210.mp4
263,celebr,1,6,1210.mp4
264,celebr,1,6,1210.mp4
265,celebr,1,6,1210.mp4
266,celebr,1,6,1210.mp4
267,celebr,1,6,1210.mp4
268,celebr,1,6,1210.mp4
269,celebr,2,6,1210.mp4
270,victori,1,6,1210.mp4
271,victori,1,6,1210.mp4
272,victori,1,6,1210.mp4
273,victori,1,6,1210.mp4
274,victori,1,6,1210.mp4
275,victori,1,6,1210.mp4
276,victori,2,6,1210.mp4
277,togeth,1,6,1210.mp4
278,togeth,2,6,1210.mp4
279,hug,1,6,1210.mp4
280,proud,2,6,1210.mp4
281,proud,2,6,1210.mp4
282,proud,2,6,1210.mp4
283,proud,2,6,1210.mp4
284,joy,2,6,1210.mp4
285,joy,2,6,1210.mp4
286,joy,2,6,1210.mp4
287,bore,2,6,1210.mp4
288,bore,2,6,1210.mp4
289,bore,2,6,1210.mp4
290,bore,2,6,1210.mp4
291,help,1,7,1169.mp4
292,help,1,7,1169.mp4
293,help,1,7,1169.mp4
294,help,1,7,1169.mp4
295,care,1,7,1169.mp4
296,care,1,7,1169.mp4
297,care,2,7,1169.mp4
298,sad,1,7,1169.mp4
299,sad,2,7,1169.mp4
300,sad,2,7,1169.mp4
301,sad,2,7,1169.mp4
302,sad,2,7,1169.mp4
303,sad,2,7,1169.mp4
304,sad,2,7,1169.mp4
305,sad,2,7,1169.mp4
306,sad,2,7,1169.mp4
307,sad,2,7,1169.mp4
308,sad,2,7,1169.mp4
309,sad,2,7,1169.mp4
310,sad,2,7,1169.mp4
311,sadden,1,7,1169.mp4
312,hope,2,7,1169.mp4
313,hope,2,7,1169.mp4
314,hope,2,7,1169.mp4
315,hope,2,7,1169.mp4
316,hope,2,7,1169.mp4
317,hope,2,7,1169.mp4
318,upset,2,7,1169.mp4
319,disappoint,2,7,1169.mp4
320,concern,2,7,1169.mp4
321,concern,2,7,1169.mp4
322,interest,2,7,1169.mp4
323,interest,2,7,1169.mp4
324,sympathi,2,7,1169.mp4
325,sympathi,2,7,1169.mp4
326,wonder,2,7,1169.mp4
327,anger,2,7,1169.mp4
328,anger,2,7,1169.mp4
329,game,1,8,1567.mp4
330,happi,1,8,1567.mp4
331,happi,1,8,1567.mp4
332,happi,1,8,1567.mp4
333,happi,1,8,1567.mp4
334,happi,1,8,1567.mp4
335,happi,1,8,1567.mp4
336,happi,1,8,1567.mp4
337,happi,1,8,1567.mp4
338,happi,1,8,1567.mp4
339,happi,2,8,1567.mp4
340,happi,2,8,1567.mp4
341,happi,2,8,1567.mp4
342,happi,2,8,1567.mp4
343,happi,2,8,1567.mp4
344,happi,2,8,1567.mp4
345,happi,2,8,1567.mp4
346,happi,2,8,1567.mp4
347,awkward,1,8,1567.mp4
348,awkward,1,8,1567.mp4
349,awkward,1,8,1567.mp4
350,awkward,1,8,1567.mp4
351,awkward,1,8,1567.mp4
352,awkward,2,8,1567.mp4
353,awkward,2,8,1567.mp4
354,awkward,2,8,1567.mp4
355,awkward,2,8,1567.mp4
356,awkward,2,8,1567.mp4
357,embarrass,1,8,1567.mp4
358,embarrass,2,8,1567.mp4
359,embarass,1,8,1567.mp4
360,funni,1,8,1567.mp4
361,funni,2,8,1567.mp4
362,funni,2,8,1567.mp4
363,funni,2,8,1567.mp4
364,funni,2,8,1567.mp4
365,cheer,1,8,1567.mp4
366,cheer,2,8,1567.mp4
367,confus,2,8,1567.mp4
368,confus,2,8,1567.mp4
369,confus,2,8,1567.mp4
370,amus,2,8,1567.mp4
371,amus,2,8,1567.mp4
372,amus,2,8,1567.mp4
373,amus,2,8,1567.mp4
374,amus,2,8,1567.mp4
375,amus,2,8,1567.mp4
376,bore,2,8,1567.mp4
377,bore,2,8,1567.mp4
378,joy,2,8,1567.mp4
379,joy,2,8,1567.mp4
380,content,2,8,1567.mp4
381,ouch,1,9,1768.mp4
382,ouch,1,9,1768.mp4
383,ouch,1,9,1768.mp4
384,pain,1,9,1768.mp4
385,pain,1,9,1768.mp4
386,pain,1,9,1768.mp4
387,pain,1,9,1768.mp4
388,pain,1,9,1768.mp4
389,pain,1,9,1768.mp4
390,pain,1,9,1768.mp4
391,pain,1,9,1768.mp4
392,pain,2,9,1768.mp4
393,pain,2,9,1768.mp4
394,pain,2,9,1768.mp4
395,pain,2,9,1768.mp4
396,pain,2,9,1768.mp4
397,pain,2,9,1768.mp4
398,pain,2,9,1768.mp4
399,pain,2,9,1768.mp4
400,pain,2,9,1768.mp4
401,sad,1,9,1768.mp4
402,sad,1,9,1768.mp4
403,sad,2,9,1768.mp4
404,sad,2,9,1768.mp4
405,sad,2,9,1768.mp4
406,sad,2,9,1768.mp4
407,stupid,1,9,1768.mp4
408,regret,1,9,1768.mp4
409,empathi,2,9,1768.mp4
410,empathi,2,9,1768.mp4
411,empathi,2,9,1768.mp4
412,worri,2,9,1768.mp4
413,worri,2,9,1768.mp4
414,worri,2,9,1768.mp4
415,concern,2,9,1768.mp4
416,uncomfort,2,9,1768.mp4
417,uncomfort,2,9,1768.mp4
418,nervou,2,9,1768.mp4
419,surpris,2,9,1768.mp4
420,surpris,2,9,1768.mp4
421,empathet,2,9,1768.mp4
422,piti,2,9,1768.mp4
423,rich,1,10,1791.mp4
424,rich,1,10,1791.mp4
425,rich,1,10,1791.mp4
426,rich,1,10,1791.mp4
427,rich,1,10,1791.mp4
428,rich,1,10,1791.mp4
429,rich,2,10,1791.mp4
430,happi,1,10,1791.mp4
431,happi,1,10,1791.mp4
432,happi,2,10,1791.mp4
433,happi,2,10,1791.mp4
434,happi,2,10,1791.mp4
435,annoy,2,10,1791.mp4
436,annoy,2,10,1791.mp4
437,annoy,2,10,1791.mp4
438,annoy,2,10,1791.mp4
439,annoy,2,10,1791.mp4
440,annoy,2,10,1791.mp4
441,annoy,2,10,1791.mp4
442,jealou,2,10,1791.mp4
443,jealou,2,10,1791.mp4
444,jealou,2,10,1791.mp4
445,neutral,2,10,1791.mp4
446,neutral,2,10,1791.mp4
447,sad,2,10,1791.mp4
448,bore,2,10,1791.mp4
449,bore,2,10,1791.mp4
450,bore,2,10,1791.mp4
451,bore,2,10,1791.mp4
452,bore,2,10,1791.mp4
453,hate,2,10,1791.mp4
454,dislik,2,10,1791.mp4
455,close,1,11,2120.mp4
456,close,1,11,2120.mp4
457,close,1,11,2120.mp4
458,close,1,11,2120.mp4
459,close,1,11,2120.mp4
460,close,2,11,2120.mp4
461,stupid,1,11,2120.mp4
462,stupid,1,11,2120.mp4
463,stupid,2,11,2120.mp4
464,escap,1,11,2120.mp4
465,escap,1,11,2120.mp4
466,terrifi,1,11,2120.mp4
467,anxiou,1,11,2120.mp4
468,anxiou,2,11,2120.mp4
469,anxiou,2,11,2120.mp4
470,anxiou,2,11,2120.mp4
471,anxiou,2,11,2120.mp4
472,anxiou,2,11,2120.mp4
473,scari,1,11,2120.mp4
474,scari,1,11,2120.mp4
475,scari,2,11,2120.mp4
476,danger,1,11,2120.mp4
477,danger,1,11,2120.mp4
478,danger,1,11,2120.mp4
479,danger,1,11,2120.mp4
480,danger,2,11,2120.mp4
481,danger,2,11,2120.mp4
482,fear,1,11,2120.mp4
483,fear,2,11,2120.mp4
484,riski,1,11,2120.mp4
485,concern,2,11,2120.mp4
486,concern,2,11,2120.mp4
487,worri,2,11,2120.mp4
488,worri,2,11,2120.mp4
489,worri,2,11,2120.mp4
490,worri,2,11,2120.mp4
491,reliev,2,11,2120.mp4
492,reliev,2,11,2120.mp4
493,reliev,2,11,2120.mp4
494,reliev,2,11,2120.mp4
495,anxieti,2,11,2120.mp4
496,scare,2,11,2120.mp4
497,scare,2,11,2120.mp4
498,scare,2,11,2120.mp4
499,scare,2,11,2120.mp4
500,scare,2,11,2120.mp4
501,shock,2,11,2120.mp4
502,shock,2,11,2120.mp4
503,shock,2,11,2120.mp4
504,surpris,2,11,2120.mp4
505,surpris,2,11,2120.mp4
506,surpris,2,11,2120.mp4
507,relief,2,11,2120.mp4
508,relief,2,11,2120.mp4
509,relief,2,11,2120.mp4
510,extrem,2,11,2120.mp4
511,idiot,1,12,2090.mp4
512,idiot,2,12,2090.mp4
513,justic,1,12,2090.mp4
514,justic,2,12,2090.mp4
515,justic,2,12,2090.mp4
516,funni,1,12,2090.mp4
517,funni,2,12,2090.mp4
518,illeg,1,12,2090.mp4
519,illeg,1,12,2090.mp4
520,dumb,1,12,2090.mp4
521,dumb,2,12,2090.mp4
522,annoy,1,12,2090.mp4
523,annoy,2,12,2090.mp4
524,annoy,2,12,2090.mp4
525,annoy,2,12,2090.mp4
526,annoy,2,12,2090.mp4
527,annoy,2,12,2090.mp4
528,annoy,2,12,2090.mp4
529,happi,2,12,2090.mp4
530,happi,2,12,2090.mp4
531,happi,2,12,2090.mp4
532,surpris,2,12,2090.mp4
533,surpris,2,12,2090.mp4
534,surpris,2,12,2090.mp4
535,concern,2,12,2090.mp4
536,confus,2,12,2090.mp4
537,confus,2,12,2090.mp4
538,confus,2,12,2090.mp4
539,confus,2,12,2090.mp4
540,confus,2,12,2090.mp4
541,confus,2,12,2090.mp4
542,anger,2,12,2090.mp4
543,irrit,2,12,2090.mp4
544,annoy,1,13,0523.mp4
545,annoy,1,13,0523.mp4
546,annoy,1,13,0523.mp4
547,annoy,2,13,0523.mp4
548,annoy,2,13,0523.mp4
549,annoy,2,13,0523.mp4
550,annoy,2,13,0523.mp4
551,uninterest,1,13,0523.mp4
552,uninterest,2,13,0523.mp4
553,uninterest,2,13,0523.mp4
554,bore,1,13,0523.mp4
555,bore,2,13,0523.mp4
556,bore,2,13,0523.mp4
557,bore,2,13,0523.mp4
558,bore,2,13,0523.mp4
559,bore,2,13,0523.mp4
560,frustrat,1,13,0523.mp4
561,frustrat,2,13,0523.mp4
562,frustrat,2,13,0523.mp4
563,disbelief,2,13,0523.mp4
564,disbelief,2,13,0523.mp4
565,upset,2,13,0523.mp4
566,upset,2,13,0523.mp4
567,disgust,2,13,0523.mp4
568,disgust,2,13,0523.mp4
569,disgust,2,13,0523.mp4
570,contempt,2,13,0523.mp4
571,indiffer,2,13,0523.mp4
572,indiffer,2,13,0523.mp4
573,meh,2,13,0523.mp4
574,amus,2,13,0523.mp4
575,amus,2,13,0523.mp4
576,amus,2,13,0523.mp4
577,crazi,1,14,1037.mp4
578,crazi,1,14,1037.mp4
579,crazi,1,14,1037.mp4
580,scari,1,14,1037.mp4
581,scari,1,14,1037.mp4
582,scari,1,14,1037.mp4
583,scari,1,14,1037.mp4
584,scari,1,14,1037.mp4
585,scari,1,14,1037.mp4
586,scari,2,14,1037.mp4
587,anxiou,1,14,1037.mp4
588,anxiou,2,14,1037.mp4
589,anxiou,2,14,1037.mp4
590,anxiou,2,14,1037.mp4
591,adventur,1,14,1037.mp4
592,adventur,1,14,1037.mp4
593,adventur,1,14,1037.mp4
594,adventur,2,14,1037.mp4
595,adventur,2,14,1037.mp4
596,riski,1,14,1037.mp4
597,riski,1,14,1037.mp4
598,how,1,14,1037.mp4
599,fun,1,14,1037.mp4
600,amaz,1,14,1037.mp4
601,amaz,2,14,1037.mp4
602,amaz,2,14,1037.mp4
603,amaz,2,14,1037.mp4
604,amaz,2,14,1037.mp4
605,amaz,2,14,1037.mp4
606,fear,2,14,1037.mp4
607,fear,2,14,1037.mp4
608,fear,2,14,1037.mp4
609,fear,2,14,1037.mp4
610,fear,2,14,1037.mp4
611,scare,2,14,1037.mp4
612,scare,2,14,1037.mp4
613,wow,2,14,1037.mp4
614,shock,2,14,1037.mp4
615,shock,2,14,1037.mp4
616,shock,2,14,1037.mp4
617,terrifi,2,14,1037.mp4
618,terrifi,2,14,1037.mp4
619,curiou,2,14,1037.mp4
620,curiou,2,14,1037.mp4
621,bore,2,14,1037.mp4
622,impress,2,14,1037.mp4
623,worri,2,14,1037.mp4
624,worri,2,14,1037.mp4
625,worri,2,14,1037.mp4
626,worri,2,14,1037.mp4
627,confus,2,14,1037.mp4
628,disbelief,2,14,1037.mp4
629,stupid,2,14,1037.mp4
630,weird,1,15,0510.mp4
631,weird,1,15,0510.mp4
632,weird,1,15,0510.mp4
633,weird,1,15,0510.mp4
634,weird,1,15,0510.mp4
635,weird,1,15,0510.mp4
636,weird,2,15,0510.mp4
637,weird,2,15,0510.mp4
638,odd,1,15,0510.mp4
639,odd,1,15,0510.mp4
640,odd,1,15,0510.mp4
641,odd,1,15,0510.mp4
642,odd,2,15,0510.mp4
643,strang,1,15,0510.mp4
644,strang,1,15,0510.mp4
645,strang,1,15,0510.mp4
646,unsettl,1,15,0510.mp4
647,unsettl,2,15,0510.mp4
648,bizarr,1,15,0510.mp4
649,bizarr,2,15,0510.mp4
650,intrigu,2,15,0510.mp4
651,intrigu,2,15,0510.mp4
652,intrigu,2,15,0510.mp4
653,intrigu,2,15,0510.mp4
654,intrigu,2,15,0510.mp4
655,confus,2,15,0510.mp4
656,confus,2,15,0510.mp4
657,confus,2,15,0510.mp4
658,confus,2,15,0510.mp4
659,confus,2,15,0510.mp4
660,confus,2,15,0510.mp4
661,confus,2,15,0510.mp4
662,confus,2,15,0510.mp4
663,confus,2,15,0510.mp4
664,confus,2,15,0510.mp4
665,confus,2,15,0510.mp4
666,confus,2,15,0510.mp4
667,scare,2,15,0510.mp4
668,fascin,2,15,0510.mp4
669,fascin,2,15,0510.mp4
670,disturb,2,15,0510.mp4
671,shock,2,15,0510.mp4
672,curios,2,15,0510.mp4
673,happi,2,15,0510.mp4
674,danger,1,16,0208.mp4
675,danger,1,16,0208.mp4
676,danger,1,16,0208.mp4
677,danger,1,16,0208.mp4
678,danger,1,16,0208.mp4
679,danger,1,16,0208.mp4
680,danger,1,16,0208.mp4
681,danger,2,16,0208.mp4
682,danger,2,16,0208.mp4
683,burn,1,16,0208.mp4
684,burn,1,16,0208.mp4
685,burn,1,16,0208.mp4
686,burn,1,16,0208.mp4
687,burn,1,16,0208.mp4
688,burn,1,16,0208.mp4
689,burn,1,16,0208.mp4
690,burn,1,16,0208.mp4
691,shock,1,16,0208.mp4
692,shock,2,16,0208.mp4
693,shock,2,16,0208.mp4
694,sad,1,16,0208.mp4
695,sad,1,16,0208.mp4
696,sad,2,16,0208.mp4
697,sad,2,16,0208.mp4
698,sad,2,16,0208.mp4
699,sad,2,16,0208.mp4
700,sad,2,16,0208.mp4
701,sad,2,16,0208.mp4
702,sad,2,16,0208.mp4
703,sad,2,16,0208.mp4
704,sad,2,16,0208.mp4
705,sad,2,16,0208.mp4
706,sad,2,16,0208.mp4
707,scari,1,16,0208.mp4
708,scari,2,16,0208.mp4
709,loss,1,16,0208.mp4
710,fear,2,16,0208.mp4
711,fear,2,16,0208.mp4
712,fear,2,16,0208.mp4
713,fear,2,16,0208.mp4
714,fear,2,16,0208.mp4
715,fear,2,16,0208.mp4
716,scare,2,16,0208.mp4
717,scare,2,16,0208.mp4
718,scare,2,16,0208.mp4
719,concern,2,16,0208.mp4
720,empathi,2,16,0208.mp4
721,empathi,2,16,0208.mp4
722,anxiou,2,16,0208.mp4
723,anxiou,2,16,0208.mp4
724,anxiou,2,16,0208.mp4
725,afraid,2,16,0208.mp4
726,afraid,2,16,0208.mp4
727,afraid,2,16,0208.mp4
728,neutral,2,16,0208.mp4
729,affect,1,17,0927.mp4
730,affect,2,17,0927.mp4
731,affect,2,17,0927.mp4
732,love,1,17,0927.mp4
733,love,1,17,0927.mp4
734,love,1,17,0927.mp4
735,love,1,17,0927.mp4
736,love,1,17,0927.mp4
737,love,1,17,0927.mp4
738,love,1,17,0927.mp4
739,love,1,17,0927.mp4
740,love,1,17,0927.mp4
741,love,1,17,0927.mp4
742,love,1,17,0927.mp4
743,love,1,17,0927.mp4
744,love,1,17,0927.mp4
745,love,1,17,0927.mp4
746,love,1,17,0927.mp4
747,love,1,17,0927.mp4
748,love,1,17,0927.mp4
749,love,2,17,0927.mp4
750,love,2,17,0927.mp4
751,love,2,17,0927.mp4
752,love,2,17,0927.mp4
753,love,2,17,0927.mp4
754,love,2,17,0927.mp4
755,love,2,17,0927.mp4
756,love,2,17,0927.mp4
757,love,2,17,0927.mp4
758,love,2,17,0927.mp4
759,love,2,17,0927.mp4
760,love,2,17,0927.mp4
761,content,1,17,0927.mp4
762,content,2,17,0927.mp4
763,content,2,17,0927.mp4
764,content,2,17,0927.mp4
765,happi,1,17,0927.mp4
766,happi,1,17,0927.mp4
767,happi,1,17,0927.mp4
768,happi,1,17,0927.mp4
769,happi,2,17,0927.mp4
770,happi,2,17,0927.mp4
771,happi,2,17,0927.mp4
772,happi,2,17,0927.mp4
773,happi,2,17,0927.mp4
774,happi,2,17,0927.mp4
775,happi,2,17,0927.mp4
776,happi,2,17,0927.mp4
777,happi,2,17,0927.mp4
778,happi,2,17,0927.mp4
779,happi,2,17,0927.mp4
780,happi,2,17,0927.mp4
781,cute,1,17,0927.mp4
782,cute,2,17,0927.mp4
783,coupl,1,17,0927.mp4
784,coupl,1,17,0927.mp4
785,coupl,1,17,0927.mp4
786,coupl,1,17,0927.mp4
787,coupl,1,17,0927.mp4
788,coupl,1,17,0927.mp4
789,coupl,1,17,0927.mp4
790,coupl,1,17,0927.mp4
791,sweet,1,17,0927.mp4
792,sweet,2,17,0927.mp4
793,sweet,2,17,0927.mp4
794,warm,2,17,0927.mp4
795,warm,2,17,0927.mp4
796,indiffer,2,17,0927.mp4
797,nostalgia,2,17,0927.mp4
798,sad,2,17,0927.mp4
799,admir,2,17,0927.mp4
800,pleasant,2,17,0927.mp4
801,sexual,1,18,1610.mp4
802,sexual,1,18,1610.mp4
803,sexual,1,18,1610.mp4
804,sexual,2,18,1610.mp4
805,sexual,2,18,1610.mp4
806,sexual,2,18,1610.mp4
807,erot,1,18,1610.mp4
808,erot,1,18,1610.mp4
809,erot,1,18,1610.mp4
810,pleasur,1,18,1610.mp4
811,pleasur,1,18,1610.mp4
812,pleasur,1,18,1610.mp4
813,pleasur,1,18,1610.mp4
814,pleasur,1,18,1610.mp4
815,excit,1,18,1610.mp4
816,excit,1,18,1610.mp4
817,excit,1,18,1610.mp4
818,excit,2,18,1610.mp4
819,excit,2,18,1610.mp4
820,excit,2,18,1610.mp4
821,excit,2,18,1610.mp4
822,excit,2,18,1610.mp4
823,excit,2,18,1610.mp4
824,excit,2,18,1610.mp4
825,excit,2,18,1610.mp4
826,excit,2,18,1610.mp4
827,excit,2,18,1610.mp4
828,excit,2,18,1610.mp4
829,excit,2,18,1610.mp4
830,excit,2,18,1610.mp4
831,lust,1,18,1610.mp4
832,love,1,18,1610.mp4
833,interest,1,18,1610.mp4
834,relax,1,18,1610.mp4
835,gross,1,18,1610.mp4
836,disgust,2,18,1610.mp4
837,disgust,2,18,1610.mp4
838,disgust,2,18,1610.mp4
839,disgust,2,18,1610.mp4
840,arous,2,18,1610.mp4
841,arous,2,18,1610.mp4
842,arous,2,18,1610.mp4
843,arous,2,18,1610.mp4
844,arous,2,18,1610.mp4
845,arous,2,18,1610.mp4
846,shock,2,18,1610.mp4
847,shock,2,18,1610.mp4
848,shock,2,18,1610.mp4
849,confus,2,18,1610.mp4
850,confus,2,18,1610.mp4
851,confus,2,18,1610.mp4
