,word,count
0,ball,2
1,cake,2
2,calori,1
3,caramel,1
4,chcocol,1
5,chocol,15
6,comfort,1
7,decad,1
8,delici,11
9,desert,3
10,dessert,10
11,dish,1
12,excit,1
13,expens,1
14,fanci,1
15,flow,1
16,food,2
17,fruit,2
18,fudg,1
19,gooey,1
20,happi,1
21,icecream,3
22,melt,5
23,melted-chocol,1
24,mouth-wat,2
25,nice,1
26,plate,3
27,pour,2
28,pud,2
29,reveal,1
30,satisfi,2
31,sauc,3
32,strawberri,2
33,sugar,1
34,sugary-treat,1
35,suger,1
36,sweet,4
37,tasti,3
38,tempt,1
39,treat,1
40,yummi,1
