,word,version,vid,vid_name
0,excit,1,1,1826.mp4
1,excit,2,1,1826.mp4
2,yummi,1,1,1826.mp4
3,satisfi,1,1,1826.mp4
4,satisfi,1,1,1826.mp4
5,satisfi,2,1,1826.mp4
6,hungri,2,1,1826.mp4
7,calm,2,1,1826.mp4
8,calm,2,1,1826.mp4
9,calm,2,1,1826.mp4
10,hunger,2,1,1826.mp4
11,hunger,2,1,1826.mp4
12,interest,2,1,1826.mp4
13,proud,1,2,1693.mp4
14,proud,2,2,1693.mp4
15,proud,2,2,1693.mp4
16,proud,2,2,1693.mp4
17,proud,2,2,1693.mp4
18,proud,2,2,1693.mp4
19,proud,2,2,1693.mp4
20,proud,2,2,1693.mp4
21,war,1,2,1693.mp4
22,war,1,2,1693.mp4
23,war,1,2,1693.mp4
24,war,1,2,1693.mp4
25,war,1,2,1693.mp4
26,war,1,2,1693.mp4
27,war,1,2,1693.mp4
28,war,1,2,1693.mp4
29,war,1,2,1693.mp4
30,war,1,2,1693.mp4
31,war,1,2,1693.mp4
32,war,1,2,1693.mp4
33,war,1,2,1693.mp4
34,war,2,2,1693.mp4
35,inspir,1,2,1693.mp4
36,patriot,1,2,1693.mp4
37,histor,1,2,1693.mp4
38,neutral,2,2,1693.mp4
39,neutral,2,2,1693.mp4
40,neutral,2,2,1693.mp4
41,awe,2,2,1693.mp4
42,disgust,2,2,1693.mp4
43,violenc,1,3,1703.mp4
44,violenc,1,3,1703.mp4
45,violenc,1,3,1703.mp4
46,violenc,1,3,1703.mp4
47,violenc,1,3,1703.mp4
48,violenc,1,3,1703.mp4
49,violenc,1,3,1703.mp4
50,violenc,1,3,1703.mp4
51,shock,1,3,1703.mp4
52,shock,2,3,1703.mp4
53,shock,2,3,1703.mp4
54,shock,2,3,1703.mp4
55,disgust,1,3,1703.mp4
56,disgust,1,3,1703.mp4
57,disgust,2,3,1703.mp4
58,disgust,2,3,1703.mp4
59,disgust,2,3,1703.mp4
60,disgust,2,3,1703.mp4
61,work,1,3,1703.mp4
62,work,1,3,1703.mp4
63,anger,1,3,1703.mp4
64,anger,1,3,1703.mp4
65,anger,2,3,1703.mp4
66,anger,2,3,1703.mp4
67,anger,2,3,1703.mp4
68,anger,2,3,1703.mp4
69,mean,1,3,1703.mp4
70,sad,1,3,1703.mp4
71,sad,2,3,1703.mp4
72,sad,2,3,1703.mp4
73,sad,2,3,1703.mp4
74,sad,2,3,1703.mp4
75,sad,2,3,1703.mp4
76,horrifi,2,3,1703.mp4
77,mad,2,3,1703.mp4
78,mad,2,3,1703.mp4
79,pain,2,3,1703.mp4
80,dog,1,4,0570.mp4
81,dog,1,4,0570.mp4
82,dog,1,4,0570.mp4
83,dog,1,4,0570.mp4
84,dog,1,4,0570.mp4
85,dog,1,4,0570.mp4
86,dog,1,4,0570.mp4
87,dog,1,4,0570.mp4
88,dog,1,4,0570.mp4
89,dog,1,4,0570.mp4
90,dog,1,4,0570.mp4
91,dog,1,4,0570.mp4
92,hope,1,4,0570.mp4
93,compass,1,4,0570.mp4
94,compass,2,4,0570.mp4
95,heartwarm,1,4,0570.mp4
96,relief,2,4,0570.mp4
97,relief,2,4,0570.mp4
98,relief,2,4,0570.mp4
99,relief,2,4,0570.mp4
100,relief,2,4,0570.mp4
101,joy,2,4,0570.mp4
102,joy,2,4,0570.mp4
