,vid_name,word
432,1210.mp4,hug
433,1210.mp4,happi
434,1210.mp4,noth
435,1210.mp4,proud
437,1210.mp4,victori
443,1210.mp4,celebr
447,1210.mp4,ambival
449,1210.mp4,elat
452,1210.mp4,heartwarm
453,1210.mp4,bore
454,1292.mp4,terror
457,1292.mp4,horror
458,1292.mp4,scari
459,1292.mp4,shock
460,1292.mp4,sad
461,1292.mp4,worri
462,1292.mp4,horribl
463,1292.mp4,tragedi
464,1292.mp4,horrifi
465,1292.mp4,distur
469,1292.mp4,scare
473,1292.mp4,wow
474,1292.mp4,aw
476,1292.mp4,suspens
477,1292.mp4,shockconfus
478,1292.mp4,no
479,1292.mp4,emot
480,1292.mp4,tragic
481,1292.mp4,danger
482,1372.mp4,calm
483,1372.mp4,empti
484,1372.mp4,quaint
486,1372.mp4,chill
487,1372.mp4,noth
488,1372.mp4,bore
492,1372.mp4,relax
496,1372.mp4,tranquil
498,1372.mp4,dull
499,1372.mp4,lone
500,1372.mp4,boredom
501,1372.mp4,ordinari
504,1372.mp4,coffe
508,1372.mp4,neutral
511,1372.mp4,loneli
512,1372.mp4,nostalg
515,1372.mp4,nostalgia
519,1544.mp4,indiffer
520,1544.mp4,amus
521,1544.mp4,anticip
522,1544.mp4,pain
523,1544.mp4,nostalg
524,1544.mp4,movi
528,1544.mp4,surpris
529,1544.mp4,sad
530,1544.mp4,funni
531,1544.mp4,danger
532,1544.mp4,nostalgi
533,1544.mp4,goofi
534,1544.mp4,laugh
535,1544.mp4,dumb
537,1544.mp4,afraid
538,1544.mp4,creepi
539,1544.mp4,nostolg
540,1544.mp4,nervou
542,1544.mp4,disinterest
543,1544.mp4,confus
544,1567.mp4,unfair
545,1567.mp4,unmov
546,1567.mp4,ackward
547,1567.mp4,awkward
549,1567.mp4,joy
550,1567.mp4,bore
552,1567.mp4,what
553,1567.mp4,averag
554,1567.mp4,amus
556,1567.mp4,content
558,1567.mp4,burn
560,1567.mp4,game
562,1567.mp4,apprehens
564,1567.mp4,confus
565,1567.mp4,cheer
566,1567.mp4,embarass
570,1567.mp4,disappoint
571,1567.mp4,upbeat
572,1567.mp4,handfail
573,1567.mp4,soso
574,1567.mp4,funni
575,1567.mp4,happi
577,1567.mp4,exclud
578,1567.mp4,hang
580,1567.mp4,boredom
581,1567.mp4,embarrass
583,1610.mp4,ecstaci
584,1610.mp4,love
585,1610.mp4,uneas
586,1610.mp4,sexi
587,1610.mp4,desir
588,1610.mp4,arous
589,1610.mp4,disgust
591,1610.mp4,disturb
592,1610.mp4,excit
593,1610.mp4,gross
594,1610.mp4,attract
595,1610.mp4,ick
596,1610.mp4,awkward
597,1610.mp4,erot
598,1610.mp4,lunch
600,1610.mp4,pleas
601,1610.mp4,sexual
602,1610.mp4,wonder
603,1610.mp4,lust
604,1610.mp4,interest
605,1610.mp4,relax
607,1610.mp4,prudent
608,1610.mp4,curios
609,1610.mp4,boredom
610,1610.mp4,horni
614,1610.mp4,hurt
615,1610.mp4,pleasur
616,1610.mp4,weird
617,1610.mp4,none
618,1610.mp4,confus
622,1610.mp4,shock
624,1693.mp4,disgust
625,1693.mp4,proud
627,1693.mp4,interest
631,1693.mp4,patriot
632,1693.mp4,pride
634,1693.mp4,neutral
636,1693.mp4,awesom
639,1693.mp4,war
641,1693.mp4,relief
645,1693.mp4,histor
646,1693.mp4,familiar
647,1693.mp4,inspir
648,1693.mp4,honord
649,1693.mp4,accomplish
653,1693.mp4,awe
654,1693.mp4,sad
656,1693.mp4,thank
658,1703.mp4,sad
659,1703.mp4,angri
660,1703.mp4,anger
661,1703.mp4,inhuman
664,1703.mp4,work
666,1703.mp4,furi
668,1703.mp4,brutal
669,1703.mp4,mad
671,1703.mp4,mean
672,1703.mp4,disgust
680,1703.mp4,pain
681,1703.mp4,shock
682,1703.mp4,violenc
683,1703.mp4,violent
684,1703.mp4,disturb
686,1703.mp4,confus
689,1703.mp4,horrifi
693,1703.mp4,apal
694,1703.mp4,despic
695,1703.mp4,sorri
696,1703.mp4,nasti
697,1768.mp4,worri
698,1768.mp4,empathet
699,1768.mp4,flexibl
700,1768.mp4,concern
701,1768.mp4,horrifi
703,1768.mp4,pain
704,1768.mp4,nervou
705,1768.mp4,uncomfort
707,1768.mp4,uneasi
708,1768.mp4,sad
709,1768.mp4,miscalcul
710,1768.mp4,surpris
711,1768.mp4,parent
712,1768.mp4,regret
714,1768.mp4,not
715,1768.mp4,a
717,1768.mp4,piti
722,1768.mp4,good
723,1768.mp4,ouch
724,1768.mp4,stupid
730,1768.mp4,empathi
732,1768.mp4,spinal
734,1791.mp4,bore
735,1791.mp4,happ
736,1791.mp4,attract
737,1791.mp4,greed
738,1791.mp4,sad
739,1791.mp4,embarass
740,1791.mp4,happi
741,1791.mp4,wast
742,1791.mp4,rich
744,1791.mp4,dislik
745,1791.mp4,hate
746,1791.mp4,neutral
747,1791.mp4,gluttani
748,1791.mp4,boredom
749,1791.mp4,poor
750,1791.mp4,jealou
751,1791.mp4,vaniti
753,1791.mp4,apathet
755,1791.mp4,sexi
756,1791.mp4,superfici
757,1791.mp4,perplex
758,1791.mp4,flip
759,1791.mp4,nauseou
760,1791.mp4,annoy
761,1826.mp4,enthral
762,1826.mp4,sooth
763,1826.mp4,hunger
764,1826.mp4,cool
765,1826.mp4,excit
