,word,version,vid
328,apathetic,2,2
329,disgusted,2,2
330,proud,2,2
331,strong,2,2
332,strength,2,2
333,war,2,2
334,hard,2,2
335,inspired,2,2
336,proud,2,2
337,strong,2,2
338,power,2,2
339,gratitude,2,2
340,confused,2,2
341,uncertain,2,2
342,victor,2,2
343,wartorn,2,2
344,ptsd,2,2
345,interested,2,2
346,inspired,2,2
347,goosebumps,2,2
348,admiring,2,2
349,patriotic,2,2
350,proud,2,2
351,impressed,2,2
352,bored,2,2
353,calm,2,2
354,happy,2,2
355,victorious,2,2
356,patriotic,2,2
357,proud,2,2
358,eased,2,2
359,grief,2,2
360,upset,2,2
361,focused,2,2
362,amused,2,2
363,angry,2,2
364,encouraged,2,2
365,bored,2,2
366,calm,2,2
367,dull,2,2
368,numb,2,2
369,impatient,2,2
370,amused,2,2
371,indifferent,2,2
372,bored,2,2
373,calm,2,2
374,shrug,2,2
375,admiration,2,2
376,awe,2,2
377,reverence,2,2
378,thankful,2,2
379,melancholy,2,2
380,neutral,2,2
381,intrigued,2,2
382,disgust,2,2
383,distracted,2,2
384,angry,2,2
385,proud,2,2
386,right,2,2
387,happy,2,2
388,safe,2,2
389,secure,2,2
390,proud,2,2
391,patriarchy,2,2
392,content,2,2
393,happy,2,2
394,supportive,2,2
395,calm,2,2
396,neutral,2,2
397,de-ja-vu,2,2
398,distant,2,2
399,known,2,2
400,men,1,3
401,people,1,3
402,walking,1,3
403,hitting,1,3
404,violence,1,3
405,bus,1,3
406,violence,1,3
407,punch,1,3
408,arrogant,1,3
409,evil,1,3
410,shocking,1,3
411,assault,1,3
412,thug,1,3
413,criminal,1,3
414,awful,1,3
415,scary,1,3
416,attack,1,3
417,bus,1,3
418,guys,1,3
419,bus-driver,1,3
420,assault,1,3
421,men,1,3
422,bus,1,3
423,hit,1,3
424,unprovoked,1,3
425,unacceptable,1,3
426,disgusted,1,3
427,disapointed,1,3
428,bully,1,3
429,foul,1,3
430,bus-driver,1,3
431,violence,1,3
