mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,refresh_rate,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,slider1_2.response,slider1_2.rt,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,slider2_2.response,slider2_2.rt,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,slider3_2.response,slider3_2.rt,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.clicked_name,slider4_2.response,slider4_2.rt,mouse_14.x,mouse_14.y,mouse_14.leftButton,mouse_14.midButton,mouse_14.rightButton,mouse_14.clicked_name,slider5_2.response,slider5_2.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.clicked_name,mouse_16.x,mouse_16.y,mouse_16.leftButton,mouse_16.midButton,mouse_16.rightButton,mouse_16.clicked_name,word1,rating1,slider1.response,slider1.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,word2,rating2,slider2.response,slider2.rt,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,word3,rating3,slider3.response,slider3.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,word4,rating4,slider4.response,slider4.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,word5,rating5,slider5.response,slider5.rt,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,video_file,video_id,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.clicked_name
0.006076431,-0.394444466,1,0,0,image,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,0.033854167,-0.413194466,1,0,0,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,0.0296875,-0.409722265,1,0,0,image,60.12144532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,0.028298632,-0.402777799,1,0,0,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,4,7.5194,0.042881966,-0.417361132,1,0,0,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.0242,0.022743098,-0.364583333,1,0,0,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.6867,0.028298632,-0.365277799,1,0,0,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3.0576,0.043576431,-0.352083333,1,0,0,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.9877,0.072743098,-0.385416667,1,0,0,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0484375,-0.415277799,1,0,0,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fascinated,4,4,3.9828,0.0734375,-0.361111132,1,0,0,image,intrigued,4,4,12.767,0.060243098,-0.381944466,1,0,0,image,hungry,3,3,12.222,0.033854167,-0.425694466,1,0,0,image,calm,5,5,9.6601,0.016493098,-0.375694466,1,0,0,image,happy,4,4,23.0904,0.0359375,-0.386111132,1,0,0,image,0,0,0,0,1,group_1/1826.mp4,1,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral,5,5,9.1729,-0.021701368,-0.377777799,1,0,0,image,intrigued,5,5,3.3329,0.064409765,-0.402083333,1,0,0,image,disgust,5,5,3.0252,0.056076431,-0.4,1,0,0,image,distracted,4,4,12.4481,0.044965299,-0.403472265,1,0,0,image,angry,2,2,20.7161,0.017881966,-0.4375,1,0,0,image,0,1,1,1,1,group_1/1693.mp4,2,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disgusted,5,5,4.3713,0.052604167,-0.384722265,1,0,0,image,angry,5,5,1.8659,0.076909765,-0.382638931,1,0,0,image,upset,5,5,3.185,0.053298632,-0.415972265,1,0,0,image,dismayed,5,5,4.7187,0.0921875,-0.390277799,1,0,0,image,appalled,5,5,10.83,0.0109375,-0.41875,1,0,0,image,0,2,2,2,1,group_1/1703.mp4,3,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,happy,4,4,6.6068,0.0484375,-0.390972265,1,0,0,image,perplexed,5,5,3.0386,-0.036979167,-0.405555598,1,0,0,image,wondering,4,4,2.1397,0.053993098,-0.417361132,1,0,0,image,relieved,4,4,4.958,0.031770833,-0.376388931,1,0,0,image,cold,4,4,5.525,0.003298632,-0.392361132,1,0,0,image,0,3,3,3,1,group_1/0570.mp4,4,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral,4,4,5.4848,0.074826431,-0.372916667,1,0,0,image,repulsed,4,4,5.9952,0.030381966,-0.372222265,1,0,0,image,uncaring,4,4,3.8595,0.045659765,-0.396527799,1,0,0,image,avoidant,5,5,12.5649,-0.039756902,-0.397916667,1,0,0,image,head-shaking,4,4,7.2279,0.053993098,-0.372222265,1,0,0,image,0,4,4,4,1,group_1/0187.mp4,5,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bored,4,4,4.6085,-0.0078125,-0.391666667,1,0,0,image,distracted,5,5,3.8886,-0.012673569,-0.436805598,1,0,0,image,tired,4,4,4.1413,0.045659765,-0.367361132,1,0,0,image,neutral,4,4,4.4527,0.008854167,-0.414583333,1,0,0,image,calm,4,4,7.961,-0.071006902,-0.429166667,1,0,0,image,0,5,5,5,1,group_1/1210.mp4,6,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,happiness,4,4,4.6134,0.028993098,-0.376388931,1,0,0,image,relief,4,4,3.8943,0.003993098,-0.388888931,1,0,0,image,calm,5,5,8.8181,-0.016145833,-0.390972265,1,0,0,image,sad,4,4,19.8373,0.036631966,-0.363888931,1,0,0,image,wondering,4,4,10.9584,0.0796875,-0.386805598,1,0,0,image,0,6,6,6,1,group_1/1169.mp4,7,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bored,5,5,4.905,0.015104167,-0.406944466,1,0,0,image,yawning,5,5,3.0018,-0.105034701,-0.460416667,1,0,0,image,tired,5,5,2.6881,0.034548632,-0.427083333,1,0,0,image,uninterested,5,5,2.4231,0.085243098,-0.390972265,1,0,0,image,upset,5,5,2.8582,-0.030034701,-0.411111132,1,0,0,image,0,7,7,7,1,group_1/1567.mp4,8,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cringe,5,5,2.1766,0.065104167,-0.382638931,1,0,0,image,amused,5,5,13.8271,0.043576431,-0.405555598,1,0,0,image,shrivel,5,5,6.4922,0.049131966,-0.375694466,1,0,0,image,happy,5,5,6.687,-0.0703125,-0.405555598,1,0,0,image,laughter,4,4,3.831,0.051215299,-0.397916667,1,0,0,image,0,8,8,8,1,group_1/1768.mp4,9,,,,,,
,,,,,,5c317f9c70d93a00012308fe,63c4aacbe9cb9ad555432dc4,2023-01-16_12h43.48.598,manan_vfe_color,2022.2.4,Win32,59.94844434,63bf5a138a8611bc9094296c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bored,4,4,7.7419,0.007465299,-0.368055598,1,0,0,image,tired,5,5,1.9825,-0.0390625,-0.382638931,1,0,0,image,uninterested,5,5,2.3398,0.082465299,-0.421527799,1,0,0,image,distracted,5,5,4.5272,0.041493098,-0.374305598,1,0,0,image,unapolagetic,5,5,11.4791,0.060243098,-0.379861132,1,0,0,image,0,9,9,9,1,group_1/1791.mp4,10,,,,,,
